station_id,date,pollutant,value
6,2023-02-15,PM25,59.0
7,2023-02-15,NO2,126.0
7,2023-02-15,O3,73.0
7,2023-02-15,PM10,63.0
8,2023-02-15,C6H6,
8,2023-02-15,CO_8h,
8,2023-02-15,NO2,
1,2023-02-14,NO2,
2,2023-02-14,C6H6,2.7
2,2023-02-14,NO2,105.0
2,2023-02-14,O3,61.0
2,2023-02-14,PM10,68.0
2,2023-02-14,PM25,45.0
2,2023-02-14,SO2,7.0
3,2023-02-14,CO_8h,1.6
3,2023-02-14,NO2,109.0
4,2023-02-14,C6H6,3.0
4,2023-02-14,CO_8h,1.7
4,2023-02-14,NO2,130.0
4,2023-02-14,PM10,68.0
4,2023-02-14,PM25,52.0
5,2023-02-14,NO2,
5,2023-02-14,O3,
6,2023-02-14,C6H6,1.8
6,2023-02-14,CO_8h,1.3
6,2023-02-14,NO2,110.0
6,2023-02-14,PM10,75.0
6,2023-02-14,PM25,57.0
7,2023-02-14,NO2,103.0
7,2023-02-14,O3,68.0
7,2023-02-14,PM10,54.0
8,2023-02-14,C6H6,
8,2023-02-14,CO_8h,
8,2023-02-14,NO2,
1,2023-02-13,NO2,
2,2023-02-13,C6H6,2.7
2,2023-02-13,NO2,98.0
2,2023-02-13,O3,75.0
2,2023-02-13,PM10,59.0
2,2023-02-13,PM25,43.0
2,2023-02-13,SO2,9.0
3,2023-02-13,CO_8h,1.2
3,2023-02-13,NO2,80.0
4,2023-02-13,C6H6,2.9
4,2023-02-13,CO_8h,1.4
4,2023-02-13,NO2,98.0
4,2023-02-13,PM10,59.0
4,2023-02-13,PM25,47.0
5,2023-02-13,NO2,
5,2023-02-13,O3,
6,2023-02-13,C6H6,1.8
6,2023-02-13,CO_8h,1.5
6,2023-02-13,NO2,103.0
6,2023-02-13,PM10,65.0
6,2023-02-13,PM25,51.0
7,2023-02-13,NO2,101.0
7,2023-02-13,O3,71.0
7,2023-02-13,PM10,48.0
8,2023-02-13,C6H6,
8,2023-02-13,CO_8h,
8,2023-02-13,NO2,
1,2023-02-10,NO2,
2,2023-02-10,C6H6,1.3
2,2023-02-10,NO2,46.0
2,2023-02-10,O3,54.0
2,2023-02-10,PM10,23.0
2,2023-02-10,PM25,17.0
2,2023-02-10,SO2,2.5
3,2023-02-10,CO_8h,0.6
3,2023-02-10,NO2,65.0
4,2023-02-10,C6H6,1.5
4,2023-02-10,CO_8h,
4,2023-02-10,NO2,
4,2023-02-10,PM10,25.0
4,2023-02-10,PM25,18.0
5,2023-02-10,NO2,
5,2023-02-10,O3,
6,2023-02-10,C6H6,1.3
6,2023-02-10,CO_8h,0.8
6,2023-02-10,NO2,69.0
6,2023-02-10,PM10,32.0
6,2023-02-10,PM25,27.0
7,2023-02-10,NO2,66.0
7,2023-02-10,O3,55.0
7,2023-02-10,PM10,21.0
8,2023-02-10,C6H6,
8,2023-02-10,CO_8h,
8,2023-02-10,NO2,
1,2023-02-09,NO2,
2,2023-02-09,C6H6,1.9
2,2023-02-09,NO2,79.0
2,2023-02-09,O3,57.0
2,2023-02-09,PM10,40.0
2,2023-02-09,PM25,27.0
2,2023-02-09,SO2,6.0
3,2023-02-09,CO_8h,1.1
3,2023-02-09,NO2,106.0
4,2023-02-09,C6H6,
4,2023-02-09,CO_8h,
4,2023-02-09,NO2,
4,2023-02-09,PM10,
4,2023-02-09,PM25,
5,2023-02-09,NO2,
5,2023-02-09,O3,
6,2023-02-09,C6H6,1.5
6,2023-02-09,CO_8h,1.1
6,2023-02-09,NO2,94.0
6,2023-02-09,PM10,47.0
6,2023-02-09,PM25,19.0
7,2023-02-09,NO2,89.0
